"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"4";"";"SPDT.WIRE";"SPDT.WIRE";"EN, EN_AUX, MODE_A, MODE_B";"SPDT Switches";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"5";"100k";"R-US_R0805";"R0805";"R3, R9, R10, R12, R13";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"2";"100k";"TRIMMER";"TRIM1";"GAIN, H_GAIN";"Trimpots";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100n";"C-EUC0805";"C0805";"C1, C7, C12";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"1";"100p";"C-EUC0805";"C0805";"C4";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"3";"10k";"R-US_R0805";"R0805";"R2, R6, R11";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"120k";"R-US_R0805";"R0805";"R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"2";"1M";"R-US_R0805";"R0805";"R1, R4";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"3";"1N4148WS";"1N4148WS";"SODFL2512X100N";"D1, D2, D3";"1N4148WS Series 75 V 300 mA Surface Mount Small Signal Diodes - SOD-323F Check availability";"In Stock";" Diode Standard 75V 300mA (DC) Surface Mount SOD-323 ";"";"";"";"ON Semiconductor";"";"";"1N4148WS";"SOD-323FL-2 ON Semiconductor";"";"None";"https://pricing.snapeda.com/search/part/1N4148WS/?ref=eda";"";
"1";"1n";"C-EUC0805";"C0805";"C2";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"5";"1u";"C-EUC0805";"C0805";"C3, C6, C8, C9, C10";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"2";"220p";"C-EUC0805";"C0805";"C14, C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"1";"22k";"R-US_R0805";"R0805";"R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"2";"22u";"C-EUC0805";"C0805";"C11, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"1";"22uH";"L-USL2012C";"L2012C";"L1";"INDUCTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"L";
"1";"330p";"C-EUC0805";"C0805";"C5";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"3";"33k";"R-US_R0805";"R0805";"R5, R7, R8";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"47R";"R-US_R0805";"R0805";"R14";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"R";
"1";"4u7";"C-EUC0805";"C0805";"C16";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"C";
"2";"74279266";"74279266";"BEADC1608X100N";"FB1, FB2";"WE-CBF Ferrite Bead 0603 1000Ohm 200mA Wurth WE-CBF Series +/-25% Ferrite Multilayer SMD Inductor, 0603 Case, 200mA dc 600m Rdc";"";"WE-CBF Ferrite Bead 0603 1000Ohm 200mA Wurth WE-CBF Series +/-25% Ferrite Multilayer SMD Inductor, 0603 Case, 200mA dc 600m Rdc";"1mm";"Wurth Elektronik";"74279266";"";"710-74279266";"https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/74279266?qs=wElim4iM2phvO%252B60rsJRMg%3D%3D";"";"";"";"";"";"";
"1";"B5817WS-TP";"B5817WS-TP";"SOD2512X115N";"D4";"Schottky Diodes & Rectifiers 20V,1A";"";"Schottky Diodes & Rectifiers 20V,1A";"1.15mm";"Micro Commercial Components (MCC)";"B5817WS-TP";"";"833-B5817WS-TP";"https://www.mouser.co.uk/ProductDetail/Micro-Commercial-Components-MCC/B5817WS-TP?qs=SdqRYZZ9IxCAZAlW9BKhPg%3D%3D";"";"";"";"";"";"";
"8";"LSP10";"LSP10";"LSP10";"B+, DR+, DR-, G_GND, IN, J1_1, J1_2, JACK";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";
"1";"MCP16301T-E_CH";"MCP16301T-E_CH";"SOT95P270X145-6N";"IC3";"Switching Controllers MCP16301 B/O Module";"";"Switching Controllers MCP16301 B/O Module";"1.45mm";"Microchip";"MCP16301T-E/CH";"";"579-MCP16301T-E/CH";"https://www.mouser.co.uk/ProductDetail/Microchip-Technology/MCP16301T-E-CH?qs=OCR3PNzn1cd7c45gMyyUJw%3D%3D";"";"";"";"";"";"";
"1";"MMBF5457";"MMBF5457";"SOT96P237X111-3N";"Q2";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"";"ON Semiconductor MMBF5457 N-Channel JFET Transistor, Idss 1  5mA, 3-Pin SOT-23";"1.11mm";"onsemi";"MMBF5457";"";"512-MMBF5457";"https://www.mouser.co.uk/ProductDetail/ON-Semiconductor-Fairchild/MMBF5457?qs=ljbEvF4DwONFsVNWUpfPPg%3D%3D";"";"";"";"";"";"";
"1";"MMBT3904";"MMBT3904LT1-NPN-SOT23-BEC";"SOT23-BEC";"T1";"NPN Transistror";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";
"1";"MMBT3906LT1SMD";"MMBT3906LT1SMD";"SOT23-BEC";"Q1";"PNP Transistror";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";
"1";"PAM8302AADCR";"PAM8302AADCR";"SOIC127P600X170-8N";"IC2";"Audio Amplifiers 2.5W MONO FILTERLESS CLASS-D AUDIO AMP";"";"Audio Amplifiers 2.5W MONO FILTERLESS CLASS-D AUDIO AMP";"1.7mm";"Diodes Inc.";"PAM8302AADCR";"";"621-PAM8302AADCR";"https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/PAM8302AADCR?qs=pYVYkI7xuRUGP4ZWq1B6zQ%3D%3D";"";"";"";"";"";"";
"1";"TL064D";"TL064D";"SO14";"IC1";"OP AMP";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";
